Transaction_id,customer_id,Date,Product,Gender,Device_Type,Category,Customer_Login_type,Delivery_Type,Quantity,Amount US$,Individual_Price_US$,Time_Transaction
40170,1348959766,11/14/2013,Hair Band,Female,Web,Accessories,Member,one-day deliver,12,"6,910",576,22:35:51
76028,1645228017,12/21/2013,Jean,Female,Web,Clothing,Guest,one-day deliver,16,641,40,2:17:55
17894,1610000572,10/10/2013,Shirt,Male,Web,Clothing,Member,one-day delivery,12,"1,647",137,2:25:23
17949,2217960309,10/10/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,17,0,0,23:07:07
17951,2219304866,10/10/2013,Shirts,Male,Web,Clothing,Member,one-day deliver,22,"5,298",241,14:35:30
18016,1980331295,10/10/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,19,"4,509",237,23:48:35
18902,1847892475,10/12/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,20,0,0,22:03:56
18967,1649911553,10/13/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,17,"1,499",88,18:22:40
19180,1903809905,10/13/2013,Shirt,Male,Web,Clothing,Member,one-day delivery,16,"2,000",125,11:56:21
19203,1411855932,10/13/2013,Shirts,Male,Web,Clothing,Member,one-day delivery,21,"3,260",155,16:25:06
19340,1769953196,10/13/2013,Shirts,Male,Web,Clothing,Member,one-day delivery,19,"17,837",939,10:03:09
19404,1568148818,10/14/2013,Shirts,Male,Web,Clothing,Member,one-day delivery,14,"1,016",73,9:19:41
19427,1751652831,10/14/2013,Shirts,Male,Web,Clothing,Member,one-day delivery,14,"4,628",331,10:31:56
19592,2231859892,10/14/2013,Shirts,Male,Web,Clothing,Member,one-day deliver,20,570,29,11:46:08
19932,1535745421,10/15/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,12,"3,000",250,7:58:51
20055,1922087137,10/15/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,22,"5,573",253,12:31:49
20315,2262467094,10/15/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,19,"5,349",282,23:26:02
20321,2268641437,10/15/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,16,"2,500",156,14:30:00
20436,1727052876,10/15/2013,Shirts,Male,Web,Clothing,Member,Normal Delivery,15,"6,900",460,10:29:59
20535,1674613702,10/15/2013,Shirts,Male,Web,Clothing,Member,one-day deliver,21,"1,794",85,12:28:54
20693,1921733731,10/16/2013,Shirts,Male,Web,Clothing,Member,one-day deliver,12,"6,000",500,16:07:36
22314,1936150747,10/18/2013,Shirts,Male,Web,Clothing,Member,one-day deliver,20,584,29,6:05:15
22421,1229841159,10/18/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,21,"5,217",248,9:08:49
22458,1586690479,10/19/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,13,300,23,23:39:23
22682,1848085677,10/19/2013,Shirt,Male,Web,Clothing,Member,one-day deliver,16,"1,999",125,3:50:06
